from_station,to_station,mileage,train_direction
Jinanxi Railway Station,Cangzhouxi Railway Station,196,up
Cangzhouxi Railway Station,Beijingnan Railway Station,210,up
Beijingnan Railway Station,Tianjinnan Railway Station,122,down
Tianjinnan Railway Station,Dezhoudong Railway Station,192,down
Jinanxi Railway Station,Zaozhuang Railway Station,221,down
Xuzhoudong Railway Station,Suzhoudong Railway Station,68,down
Shanghaihongqiao Railway Station,Suzhoubei Railway Station,81,up
Suzhoubei Railway Station,Zhenjiangnan Railway Station,149,up
Zhenjiangnan Railway Station,Nanjingnan Railway Station,65,up
Nanjingnan Railway Station,Suzhoudong Railway Station,263,up
Xuzhoudong Railway Station,Tengzhoudong Railway Station,101,up
Tengzhoudong Railway Station,Jinanxi Railway Station,185,up
Beijingnan Railway Station,Dezhoudong Railway Station,314,down
Xuzhoudong Railway Station,Nanjingnan Railway Station,331,down
Suzhoubei Railway Station,Wuxidong Railway Station,27,up
Changzhoubei Railway Station,Zhenjiangnan Railway Station,65,up
Nanjingnan Railway Station,Dingyuan Railway Station,121,up
Dingyuan Railway Station,Xuzhoudong Railway Station,210,up
Xuzhoudong Railway Station,Zaozhuang Railway Station,65,up
Zaozhuang Railway Station,Jinanxi Railway Station,221,up
Jinanxi Railway Station,Tianjinnan Railway Station,284,up
Tianjinnan Railway Station,Beijingnan Railway Station,122,up
Nanjingnan Railway Station,Changzhoubei Railway Station,130,down
Changzhoubei Railway Station,Suzhoubei Railway Station,84,down
Shanghaihongqiao Railway Station,Nanjingnan Railway Station,295,up
Nanjingnan Railway Station,Jinanxi Railway Station,617,up
Jinanxi Railway Station,Beijingnan Railway Station,406,up
Yueyangdong Railway Station,Miluodong Railway Station,70,down
Chenzhouxi Railway Station,Yingdexi Railway Station,237,down
Wuhan Railway Station,Changshanan Railway Station,362,down
Jiaxingnan Railway Station,Shanghaihongqiao Railway Station,84,up
Shanghaihongqiao Railway Station,Kunshannan Railway Station,50,up
Kunshannan Railway Station,Suzhoubei Railway Station,31,up
Suzhoubei Railway Station,Changzhoubei Railway Station,84,up
Chuzhou Railway Station,Xuzhoudong Railway Station,272,up
Guangzhounan Railway Station,Yingdexi Railway Station,140,up
Yingdexi Railway Station,Chenzhouxi Railway Station,237,up
Guangzhounan Railway Station,Guangzhoubei Railway Station,57,up
Guangzhoubei Railway Station,Chenzhouxi Railway Station,320,up
Nanjingnan Railway Station,Quanjiao Railway Station,56,down
Quanjiao Railway Station,Hefeinan Railway Station,101,down
Hefeinan Railway Station,Liuan Railway Station,87,down
Liuan Railway Station,Jinzhai Railway Station,52,down
Jinzhai Railway Station,Yueyangdong Railway Station,431,down
Changshanan Railway Station,Chenzhouxi Railway Station,24,down
Shaoguan Railway Station,Hengyangdong Railway Station,303,up
Chenzhouxi Railway Station,Zhuzhouxi Railway Station,278,up
Yueyangdong Railway Station,Xianningbei Railway Station,130,up
Hengshanxi Railway Station,Hengyangdong Railway Station,41,down
Zaozhuang Railway Station,Dingyuan Railway Station,275,down
Dingyuan Railway Station,Nanjingnan Railway Station,121,down
Nanjingnan Railway Station,Danyangbei Railway Station,97,down
Danyangbei Railway Station,Wuxidong Railway Station,90,down
Shaoguan Railway Station,Lechangdong Railway Station,44,up
Chibibei Railway Station,Changshanan Railway Station,234,down
Hengshanxi Railway Station,Shaoguan Railway Station,344,down
Shaoguan Railway Station,Yingdexi Railway Station,87,down
Yingdexi Railway Station,Guangzhoubei Railway Station,57,down
Wuhan Railway Station,Miluodong Railway Station,285,down
Yueyangdong Railway Station,Chibibei Railway Station,87,up
Chibibei Railway Station,Jinzhai Railway Station,344,up
Jinzhai Railway Station,Liuan Railway Station,54,up
Liuan Railway Station,Hefeinan Railway Station,85,up
Hefeinan Railway Station,Nanjingnan Railway Station,157,up
Lechangdong Railway Station,Guangzhoubei Railway Station,224,down
Jinanxi Railway Station,Dezhoudong Railway Station,92,up
Dezhoudong Railway Station,Tianjinnan Railway Station,192,up
Tianjinnan Railway Station,Langfang Railway Station,62,up
Hengyangdong Railway Station,Shaoguan Railway Station,303,down
Beijingnan Railway Station,Langfang Railway Station,60,down
Langfang Railway Station,Cangzhouxi Railway Station,150,down
Cangzhouxi Railway Station,Jinanxi Railway Station,196,down
Jinanxi Railway Station,Xuzhoudong Railway Station,286,down
Nanjingnan Railway Station,Suzhoubei Railway Station,214,down
Yueyangdong Railway Station,Yichangdong Railway Station,543,up
Jingzhou Railway Station,Tianmennan Railway Station,121,up
Kunshannan Railway Station,Wuxidong Railway Station,58,up
Wuxidong Railway Station,Zhenjiangnan Railway Station,122,up
Xuzhoudong Railway Station,Qufudong Railway Station,157,up
Qufudong Railway Station,Jinanxi Railway Station,129,up
Zhuzhouxi Railway Station,Leiyangxi Railway Station,180,up
Huanggangdong Railway Station,Wuhan Railway Station,65,up
Jinanxi Railway Station,Suzhoudong Railway Station,354,down
Zhenjiangnan Railway Station,Shanghaihongqiao Railway Station,230,down
Qianjiang Railway Station,Hankou Railway Station,134,up
Zaozhuang Railway Station,Chuzhou Railway Station,337,down
Suzhoubei Railway Station,Kunshannan Railway Station,31,down
Kunshannan Railway Station,Shanghaihongqiao Railway Station,50,down
Cangzhouxi Railway Station,Langfang Railway Station,150,up
Xuzhoudong Railway Station,Bangbunan Railway Station,156,down
Bangbunan Railway Station,Nanjingnan Railway Station,175,down
Zhenjiangnan Railway Station,Wuxidong Railway Station,122,down
Beijingnan Railway Station,Jinanxi Railway Station,406,down
Jinanxi Railway Station,Nanjingnan Railway Station,617,down
Nanjingnan Railway Station,Shanghaihongqiao Railway Station,295,down
Haerbinxi Railway Station,Fuyubei Railway Station,98,up
Fuyubei Railway Station,Changchunxi Railway Station,142,up
Changchunxi Railway Station,Changtuxi Railway Station,169,up
Changtuxi Railway Station,Tielingxi Railway Station,75,up
Tielingxi Railway Station,Shenyangbei Railway Station,54,up
Shenyangbei Railway Station,Liaozhong Railway Station,68,up
Liaozhong Railway Station,Jinzhounan Railway Station,155,up
Jinzhounan Railway Station,Suizhongbei Railway Station,102,up
Suizhongbei Railway Station,Shanhaiguan Railway Station,63,up
Shanhaiguan Railway Station,Beidaihe Railway Station,38,up
Beidaihe Railway Station,Tangshan Railway Station,126,up
Tangshan Railway Station,Tianjin Railway Station,114,up
Tianjin Railway Station,Tianjinxi Railway Station,186,up
Tianjinxi Railway Station,Cangzhouxi Railway Station,76,up
Zhenjiangnan Railway Station,Changzhoubei Railway Station,65,up
Changzhoubei Railway Station,Wuxidong Railway Station,57,up
Wuxidong Railway Station,Suzhoubei Railway Station,27,up
Xuzhoudong Railway Station,Taian Railway Station,227,up
Taian Railway Station,Jinanxi Railway Station,59,up
Jinanxi Railway Station,Tianjinxi Railway Station,301,up
Tianjinxi Railway Station,Binhaixi Railway Station,43,up
Binhaixi Railway Station,Tangshan Railway Station,76,up
Tangshan Railway Station,Luanhe Railway Station,61,up
Luanhe Railway Station,Qinhuangdao Railway Station,87,up
Qinhuangdao Railway Station,Jinzhounan Railway Station,181,up
Jinzhounan Railway Station,Shenyangbei Railway Station,223,up
Shenyangbei Railway Station,Kaiyuanxi Railway Station,101,up
Kaiyuanxi Railway Station,Sipingdong Railway Station,79,up
Sipingdong Railway Station,Changchunxi Railway Station,118,up
Changchunxi Railway Station,Fuyubei Railway Station,142,up
Fuyubei Railway Station,Haerbinxi Railway Station,98,up
Haerbinxi Railway Station,Shuangchengbei Railway Station,40,up
Shuangchengbei Railway Station,Dehuixi Railway Station,116,up
Dehuixi Railway Station,Changchunxi Railway Station,84,up
Changchunxi Railway Station,Kaiyuanxi Railway Station,197,up
Kaiyuanxi Railway Station,Shenyangbei Railway Station,101,up
Liaozhong Railway Station,Taian Railway Station,31,up
Taian Railway Station,Jinzhounan Railway Station,124,up
Jinzhounan Railway Station,Shanhaiguan Railway Station,165,up
Shanhaiguan Railway Station,Qinhuangdao Railway Station,17,up
Qinhuangdao Railway Station,Tangshan Railway Station,146,up
Tangshan Railway Station,Tianjinxi Railway Station,301,up
Jinanxi Railway Station,Jinan Railway Station,20,up
Jinan Railway Station,Zibo Railway Station,110,up
Zibo Railway Station,Qingzhoushi Railway Station,43,up
Qingzhoushi Railway Station,Weifang Railway Station,57,up
Weifang Railway Station,Gaomi Railway Station,86,up
Gaomi Railway Station,Qingdaobei Railway Station,83,up
Qingdaobei Railway Station,Gaomi Railway Station,83,up
Gaomi Railway Station,Weifang Railway Station,85,up
Weifang Railway Station,Zibo Railway Station,100,up
Zibo Railway Station,Jinan Railway Station,110,up
Jinan Railway Station,Jinanxi Railway Station,20,up
Dezhoudong Railway Station,Cangzhouxi Railway Station,104,up
Cangzhouxi Railway Station,Tianjinxi Railway Station,105,up
Tangshan Railway Station,Qinhuangdao Railway Station,147,up
Qinhuangdao Railway Station,Suizhongbei Railway Station,79,up
Suizhongbei Railway Station,Jinzhounan Railway Station,103,up
Shenyangbei Railway Station,Tielingxi Railway Station,54,up
Tielingxi Railway Station,Changtuxi Railway Station,75,up
Changtuxi Railway Station,Changchunxi Railway Station,169,up
Changchunxi Railway Station,Haerbinxi Railway Station,241,up
Nanjingnan Railway Station,Xuzhoudong Railway Station,331,up
Changchunxi Railway Station,Sipingdong Railway Station,118,up
Sipingdong Railway Station,Tielingxi Railway Station,126,up
Liaozhong Railway Station,Huludaobei Railway Station,198,up
Huludaobei Railway Station,Shanhaiguan Railway Station,122,up
Tangshan Railway Station,Binhaibei Railway Station,54,up
Binhaibei Railway Station,Tianjinxi Railway Station,145,up
Tianjinxi Railway Station,Dezhoudong Railway Station,129,up
Tianjinxi Railway Station,Tangshan Railway Station,119,up
Tangshan Railway Station,Beidaihe Railway Station,126,up
Beidaihe Railway Station,Qinhuangdao Railway Station,22,up
Qinhuangdao Railway Station,Shanhaiguan Railway Station,16,up
Shanhaiguan Railway Station,Shenyangbei Railway Station,388,up
Shenyangbei Railway Station,Changtuxi Railway Station,134,up
Changtuxi Railway Station,Sipingdong Railway Station,51,up
Yueyangdong Railway Station,Xinyangdong Railway Station,454,up
Xinyangdong Railway Station,Zhumadianxi Railway Station,78,up
Zhumadianxi Railway Station,Tahexi Railway Station,104,up
