from_station,to_station,mileage,train_direction
Huangshanbei Railway Station,Wuyuan Railway Station,142,down
Wuyuan Railway Station,Jingdezhenbei Railway Station,3,down
Jingdezhenbei Railway Station,Jiujiang Railway Station,294,down
Nanchang Railway Station,Yingtanbei Railway Station,140,up
Tengzhoudong Railway Station,Xuzhoudong Railway Station,101,down
Bangbunan Railway Station,Dingyuan Railway Station,54,down
Dingyuan Railway Station,Chuzhou Railway Station,62,down
Shaoguan Railway Station,Guangzhoubei Railway Station,330,down
Fuzhoudong Railway Station,Jinxiannan Railway Station,39,down
Leiyangxi Railway Station,Zhuzhouxi Railway Station,180,up
Guangzhounan Railway Station,Leiyangxi Railway Station,475,up
Leiyangxi Railway Station,Hengyangdong Railway Station,55,up
Chuzhou Railway Station,Qufudong Railway Station,429,up
Ningbo Railway Station,Yuyaobei Railway Station,49,up
Yuyaobei Railway Station,Shaoxingdong Railway Station,32,up
Shaoxingdong Railway Station,Hangzhoudong Railway Station,74,up
Anshunxi Railway Station,Guanling Railway Station,45,down
Guanling Railway Station,Panzhou Railway Station,105,down
Kunmingnan Railway Station,Yuxi Railway Station,79,down
Yuxi Railway Station,Kunmingnan Railway Station,79,up
Kunmingnan Railway Station,Songming Railway Station,52,up
Songming Railway Station,Qujingbei Railway Station,76,up
Xupunan Railway Station,Xinhuanan Railway Station,57,up
Xinhuanan Railway Station,Shaoyangbei Railway Station,37,up
Shaoyangbei Railway Station,Changshanan Railway Station,177,up
Fuzhoudong Railway Station,Shangrao Railway Station,144,up
Kunshannan Railway Station,Nanjingnan Railway Station,245,up
Shaoxingdong Railway Station,Shaoxingbei Railway Station,31,up
Quzhou Railway Station,Yiyang Railway Station,162,up
Jinxiannan Railway Station,Fuzhoudong Railway Station,79,up
Shaoxingbei Railway Station,Yuyaobei Railway Station,63,up
Yuyaobei Railway Station,Ningbo Railway Station,49,up
Tianjinnan Railway Station,Jinanxi Railway Station,284,down
Dezhoudong Railway Station,Langfang Railway Station,254,up
Jiujiang Railway Station,Hukou Railway Station,30,up
Hukou Railway Station,Jingdezhenbei Railway Station,121,up
Jingdezhenbei Railway Station,Wuyuan Railway Station,69,up
Wuyuan Railway Station,Huangshanbei Railway Station,76,up
Huangshanbei Railway Station,Qiandaohu Railway Station,119,up
Qiandaohu Railway Station,Jiande Railway Station,31,up
Jiande Railway Station,Fuyang Railway Station,77,up
Fuyang Railway Station,Hangzhoudong Railway Station,58,up
Jinhuanan Railway Station,Jinhua Railway Station,103,up
Jinhua Railway Station,Jinhuanan Railway Station,13,up
Jinhuanan Railway Station,Lishui Railway Station,93,up
Longyou Railway Station,Jiangshan Railway Station,59,down
Nanchangxi Railway Station,Fengchengdong Railway Station,144,down
Fengchengdong Railway Station,Jianxi Railway Station,147,down
Jianxi Railway Station,Taihe Railway Station,36,down
Taihe Railway Station,Xingguoxi Railway Station,89,down
Xingguoxi Railway Station,Taihe Railway Station,89,up
Taihe Railway Station,Jianxi Railway Station,36,up
Jianxi Railway Station,Nanchangxi Railway Station,210,up
Suzhoubei Railway Station,Danyangbei Railway Station,117,up
Jiujiang Railway Station,Dean Railway Station,55,down
Dean Railway Station,Yongxiu Railway Station,34,down
Yongxiu Railway Station,Nanchangxi Railway Station,53,down
Nanchangxi Railway Station,Gongqingcheng Railway Station,79,up
Gongqingcheng Railway Station,Jiujiang Railway Station,63,up
Lishui Railway Station,Yixing Railway Station,83,down
Yiyang Railway Station,Yushannan Railway Station,94,up
Hangzhoudong Railway Station,Deqing Railway Station,75,up
Deqing Railway Station,Liyang Railway Station,123,up
Liyang Railway Station,Lishui Railway Station,12,up
Lishui Railway Station,Nanjingnan Railway Station,46,up
Yixing Railway Station,Lishui Railway Station,83,up
Nanchang Railway Station,Shangrao Railway Station,260,up
Nanjingnan Railway Station,Changxing Railway Station,165,down
Nanjingnan Railway Station,Jiangning Railway Station,12,down
Jiangning Railway Station,Liyang Railway Station,86,down
Shangrao Railway Station,Nanchangxi Railway Station,241,down
Hengyangdong Railway Station,Qidong Railway Station,73,down
Qidong Railway Station,Qiyang Railway Station,29,down
Qiyang Railway Station,Yongzhou Railway Station,33,down
Yongzhou Railway Station,Dongandong Railway Station,29,down
Dongandong Railway Station,Quanzhounan Railway Station,61,down
Quanzhounan Railway Station,Xinganbei Railway Station,52,down
Xinganbei Railway Station,Guilinbei Railway Station,57,down
Guilinbei Railway Station,Yongfunan Railway Station,52,down
Yongfunan Railway Station,Liuzhou Railway Station,112,down
Liuzhou Railway Station,Laibinbei Railway Station,66,down
Laibinbei Railway Station,Nanningdong Railway Station,146,down
Nanningdong Railway Station,Laibinbei Railway Station,65,up
Laibinbei Railway Station,Liuzhou Railway Station,147,up
Liuzhou Railway Station,Luzhaibei Railway Station,57,up
Luzhaibei Railway Station,Guilinbei Railway Station,107,up
Guilinbei Railway Station,Xinganbei Railway Station,57,up
Xinganbei Railway Station,Quanzhounan Railway Station,52,up
Quanzhounan Railway Station,Dongandong Railway Station,61,up
Dongandong Railway Station,Yongzhou Railway Station,29,up
Yongzhou Railway Station,Qiyang Railway Station,33,up
Qiyang Railway Station,Qidong Railway Station,29,up
Qidong Railway Station,Hengyangdong Railway Station,73,up
Yongzhou Railway Station,Quanzhounan Railway Station,50,down
Liuzhou Railway Station,Nanningdong Railway Station,212,down
Nanningdong Railway Station,Liuzhou Railway Station,212,up
Liuzhou Railway Station,Yongfunan Railway Station,72,up
Yongfunan Railway Station,Guilinbei Railway Station,92,up
Guilinbei Railway Station,Quanzhounan Railway Station,109,up
Huzhou Railway Station,Changxing Railway Station,20,up
Changxing Railway Station,Yixing Railway Station,36,up
Qidong Railway Station,Yongzhou Railway Station,62,down
Yongzhou Railway Station,Guilinbei Railway Station,199,down
Guilinbei Railway Station,Liuzhou Railway Station,164,down
Liuzhou Railway Station,Guilinbei Railway Station,164,up
Quanzhounan Railway Station,Yongzhou Railway Station,90,up
Qiandaohu Railway Station,Huangshanbei Railway Station,119,down
Wuyuan Railway Station,Shangrao Railway Station,218,down
Shangrao Railway Station,Nanpingshi Railway Station,115,down
Nanpingshi Railway Station,Yanpingxi Railway Station,418,down
Yanpingxi Railway Station,Sanmingbei Railway Station,39,down
Sanmingbei Railway Station,Sanming Railway Station,29,down
Zaozhuang Railway Station,Qufudong Railway Station,92,up
Dezhoudong Railway Station,Beijingnan Railway Station,314,up
Sanming Railway Station,Yanpingxi Railway Station,68,up
Yanpingxi Railway Station,Jianouxi Railway Station,70,up
Jianouxi Railway Station,Nanpingshi Railway Station,51,up
Nanpingshi Railway Station,Wuyishanbei Railway Station,35,up
Wuyishanbei Railway Station,Wuyuan Railway Station,166,up
Qiandaohu Railway Station,Hangzhoudong Railway Station,159,up
Xiangtanbei Railway Station,Huaihuanan Railway Station,306,down
Qujingbei Railway Station,Guiyangbei Railway Station,335,up
Kailinan Railway Station,Huaihuanan Railway Station,247,up
Taian Railway Station,Tengzhoudong Railway Station,126,down
Shaoshannan Railway Station,Shaoyangbei Railway Station,111,down
Zhijiang Railway Station,Kailinan Railway Station,213,down
Kailinan Railway Station,Guidingbei Railway Station,67,down
Guidingbei Railway Station,Tongrennan Railway Station,207,up
Tongrennan Railway Station,Zhijiang Railway Station,73,up
Changshanan Railway Station,Huaihuanan Railway Station,332,down
Guiyangbei Railway Station,Qujingbei Railway Station,335,down
Guiyangbei Railway Station,Huaihuanan Railway Station,374,up
Huaihuanan Railway Station,Changshanan Railway Station,332,up
Chibibei Railway Station,Wuhan Railway Station,128,up
Suzhoubei Railway Station,Nanjingnan Railway Station,214,up
Shaoyangbei Railway Station,Xiangtanbei Railway Station,151,up
Changshanan Railway Station,Xianningbei Railway Station,277,up
Xianningbei Railway Station,Wuhan Railway Station,85,up
Wuhan Railway Station,Xinyangdong Railway Station,239,up
Tahexi Railway Station,Zhengzhoudong Railway Station,115,up
Zhengzhoudong Railway Station,Kaifengbei Railway Station,52,up
Kaifengbei Railway Station,Minquanbei Railway Station,88,up
Minquanbei Railway Station,Shangqiu Railway Station,50,up
Shangqiu Railway Station,Yongchengbei Railway Station,89,up
Yongchengbei Railway Station,Xuzhoudong Railway Station,81,up
Xuzhoudong Railway Station,Yongchengbei Railway Station,81,down
Yongchengbei Railway Station,Shangqiu Railway Station,89,down
Shangqiu Railway Station,Minquanbei Railway Station,50,down
Minquanbei Railway Station,Lankaonan Railway Station,35,down
Lankaonan Railway Station,Kaifengbei Railway Station,53,down
Kaifengbei Railway Station,Zhengzhoudong Railway Station,52,down
Tahexi Railway Station,Xinyangdong Railway Station,182,down
Xinyangdong Railway Station,Wuhan Railway Station,199,down
Xiangtanbei Railway Station,Shaoyangbei Railway Station,151,down
Zhijiang Railway Station,Tongrennan Railway Station,73,down
Zhumadianxi Railway Station,Minggangdong Railway Station,68,down
Minggangdong Railway Station,Xinyangdong Railway Station,50,down
Tongrennan Railway Station,Guidingbei Railway Station,207,down
Anshunxi Railway Station,Puanxian Railway Station,119,down
Puanxian Railway Station,Qujingbei Railway Station,115,down
Xiaoganbei Railway Station,Zhumadianxi Railway Station,191,up
Xinyangdong Railway Station,Changshanan Railway Station,561,down
Qujingbei Railway Station,Guanling Railway Station,189,up
Guanling Railway Station,Anshunxi Railway Station,45,up
Yueyangdong Railway Station,Wuhan Railway Station,215,up
Xinyangdong Railway Station,Minggangdong Railway Station,50,up
Minggangdong Railway Station,Zhumadianxi Railway Station,68,up
Liuan Railway Station,Yueyangdong Railway Station,483,down
Shaoyangbei Railway Station,Xupunan Railway Station,94,down
Wuhan Railway Station,Honganxi Railway Station,68,up
Honganxi Railway Station,Machengbei Railway Station,39,up
Machengbei Railway Station,Liuan Railway Station,161,up
Liuan Railway Station,Changshanan Railway Station,936,down
Yongfunan Railway Station,Luzhaibei Railway Station,211,down
Luzhaibei Railway Station,Liuzhou Railway Station,363,down
Laibinbei Railway Station,Binyang Railway Station,243,down
Binyang Railway Station,Nanningdong Railway Station,389,down
Yueyangdong Railway Station,Hefeinan Railway Station,570,up
Chuzhou Railway Station,Taian Railway Station,499,up
Xinxiangdong Railway Station,Anyangdong Railway Station,110,down
Handandong Railway Station,Gaoyixi Railway Station,124,down
Baodingdong Railway Station,Beijingxi Railway Station,139,down
Dingzhoudong Railway Station,Beijingxi Railway Station,201,down
Beijingxi Railway Station,Baodingdong Railway Station,139,down
Anyangdong Railway Station,Zhengzhoudong Railway Station,177,down
Anyangdong Railway Station,Gaoyixi Railway Station,184,up
Baodingdong Railway Station,Gaobeidiandong Railway Station,56,up
Gaobeidiandong Railway Station,Zhuozhoudong Railway Station,21,up
Zhuozhoudong Railway Station,Beijingxi Railway Station,62,up
Qufudong Railway Station,Tengzhoudong Railway Station,56,down
Xuzhoudong Railway Station,Xiaoxianbei Railway Station,41,down
Xiaoxianbei Railway Station,Yongchengbei Railway Station,40,down
Yongchengbei Railway Station,Dangshannan Railway Station,27,down
Dangshannan Railway Station,Shangqiu Railway Station,62,down
Shangqiu Railway Station,Dangshannan Railway Station,62,up
Dangshannan Railway Station,Yongchengbei Railway Station,27,up
Yongchengbei Railway Station,Xiaoxianbei Railway Station,40,up
Xiaoxianbei Railway Station,Xuzhoudong Railway Station,41,up
Beijingxi Railway Station,Gaobeidiandong Railway Station,83,down
Gaobeidiandong Railway Station,Baodingdong Railway Station,56,down
Xingtaidong Railway Station,Zhengzhoudong Railway Station,290,down
Zhengzhoudong Railway Station,Xihua Railway Station,156,down
Xihua Railway Station,Zhoukoudong Railway Station,22,down
Zhoukoudong Railway Station,Xihua Railway Station,22,up
Xihua Railway Station,Zhengzhoudong Railway Station,156,up
Zhengzhoudong Railway Station,Shijiazhuang Railway Station,412,up
Shijiazhuang Railway Station,Beijingxi Railway Station,281,up
Jiujiang Railway Station,Lushan Railway Station,19,down
Lushan Railway Station,Gongqingcheng Railway Station,44,down
Gongqingcheng Railway Station,Nanchang Railway Station,72,down
Hainingxi Railway Station,Shanghaihongqiao Railway Station,133,down
Nanchang Railway Station,Gongqingcheng Railway Station,72,down
Gongqingcheng Railway Station,Lushan Railway Station,51,down
Lushan Railway Station,Jiujiang Railway Station,19,down
Kunshannan Railway Station,Danyangbei Railway Station,148,up
Bangbunan Railway Station,Zaozhuang Railway Station,221,up
Langfang Railway Station,Tianjinnan Railway Station,62,down
Nanjingnan Railway Station,Shanghai Railway Station,302,down
Fuyangxi Railway Station,Yingshangbei Railway Station,55,down
Yingshangbei Railway Station,Huainannan Railway Station,81,down
Huainannan Railway Station,Hefeinan Railway Station,104,down
Hefeinan Railway Station,Chaohudong Railway Station,70,down
Chaohudong Railway Station,Wuwei Railway Station,35,down
Wuwei Railway Station,Tonglingbei Railway Station,34,down
Tonglingbei Railway Station,Nanling Railway Station,34,down
Nanling Railway Station,Jingde Railway Station,64,down
Jingde Railway Station,Jixibei Railway Station,28,down
Shangrao Railway Station,Wuyishanbei Railway Station,80,down
Wuyishanbei Railway Station,Jianouxi Railway Station,86,down
Jianouxi Railway Station,Yanping Railway Station,53,down
Yanping Railway Station,Gutianbei Railway Station,42,down
Gutianbei Railway Station,Fuzhou Railway Station,79,down
Fuzhou Railway Station,Fuzhounan Railway Station,19,down
Fuzhounan Railway Station,Futian Railway Station,86,down
Futian Railway Station,Quanzhou Railway Station,69,down
Quanzhou Railway Station,Shamenbei Railway Station,71,down
Shamenbei Railway Station,Zhangzhou Railway Station,42,down
Zhangzhou Railway Station,Zhaoan Railway Station,108,down
Zhaoan Railway Station,Chaoshan Railway Station,59,down
Chaoshan Railway Station,Lufeng Railway Station,84,down
Lufeng Railway Station,Huizhounan Railway Station,148,down
Huizhounan Railway Station,Shenzhenbei Railway Station,73,down
Shenzhenbei Railway Station,Shenzhenpingshan Railway Station,36,up
Shenzhenpingshan Railway Station,Huizhounan Railway Station,52,up
Huizhounan Railway Station,Shanwei Railway Station,68,up
Shanwei Railway Station,Puning Railway Station,96,up
Puning Railway Station,Chaoshan Railway Station,53,up
Chaoshan Railway Station,Zhangzhou Railway Station,167,up
Zhangzhou Railway Station,Shamenbei Railway Station,42,up
Shamenbei Railway Station,Quanzhou Railway Station,71,up
Quanzhou Railway Station,Huian Railway Station,18,up
Huian Railway Station,Fuqing Railway Station,101,up
Fuqing Railway Station,Fuzhounan Railway Station,36,up
Fuzhounan Railway Station,Fuzhou Railway Station,19,up
Fuzhou Railway Station,Jianouxi Railway Station,174,up
Jianouxi Railway Station,Wuyishanbei Railway Station,86,up
Wuyishanbei Railway Station,Shangrao Railway Station,80,up
Shangrao Railway Station,Huangshanbei Railway Station,162,up
Huangshanbei Railway Station,Jixibei Railway Station,41,up
Jixibei Railway Station,Jingde Railway Station,28,up
Jingde Railway Station,Nanling Railway Station,64,up
Nanling Railway Station,Tonglingbei Railway Station,34,up
Tonglingbei Railway Station,Wuwei Railway Station,34,up
Wuwei Railway Station,Chaohudong Railway Station,35,up
Chaohudong Railway Station,Hefeinan Railway Station,70,up
Hefeinan Railway Station,Huainannan Railway Station,104,up
Huainannan Railway Station,Shouxian Railway Station,23,up
Shouxian Railway Station,Fuyangxi Railway Station,113,up
Fuyangxi Railway Station,Taihedong Railway Station,31,up
Taihedong Railway Station,Bozhounan Railway Station,73,up
Hangzhoudong Railway Station,Tonglu Railway Station,96,down
Tonglu Railway Station,Qiandaohu Railway Station,268,down
Shangrao Railway Station,Yanpingxi Railway Station,335,down
Sanmingbei Railway Station,Yongannan Railway Station,130,down
Yongannan Railway Station,Longyan Railway Station,299,down
Longyan Railway Station,Zhangzhou Railway Station,114,down
Zhangzhou Railway Station,Zhangpu Railway Station,97,down
Zhangpu Railway Station,Yunxiao Railway Station,31,down
Yunxiao Railway Station,Chaoshan Railway Station,91,down
Chaoshan Railway Station,Puning Railway Station,53,down
Puning Railway Station,Huidong Railway Station,164,down
Huidong Railway Station,Shenzhenbei Railway Station,88,down
Shenzhenpingshan Railway Station,Shanwei Railway Station,120,up
Shanwei Railway Station,Chaoyang Railway Station,123,up
Chaoyang Railway Station,Chaoshan Railway Station,26,up
Chaoshan Railway Station,Zhaoan Railway Station,59,up
Zhaoan Railway Station,Zhangpu Railway Station,63,up
Zhangpu Railway Station,Zhangzhou Railway Station,45,up
Zhangzhou Railway Station,Longyan Railway Station,114,up
Longyan Railway Station,Sanmingbei Railway Station,191,up
Sanmingbei Railway Station,Nanpingshi Railway Station,207,up
Nanpingshi Railway Station,Shangrao Railway Station,115,up
Shangrao Railway Station,Dexing Railway Station,1,up
Dexing Railway Station,Wuyuan Railway Station,31,up
Huangshanbei Railway Station,Xixianbei Railway Station,36,up
Xixianbei Railway Station,Jixibei Railway Station,77,up
Jixibei Railway Station,Qiandaohu Railway Station,24,up
Jiande Railway Station,Tonglu Railway Station,39,up
Tonglu Railway Station,Hangzhoudong Railway Station,96,up
Shenzhenbei Railway Station,Houmen Railway Station,123,down
Houmen Railway Station,Kuitan Railway Station,98,down
Kuitan Railway Station,Chaoyang Railway Station,58,down
Quanzhou Railway Station,Futian Railway Station,69,down
Futian Railway Station,Fuzhou Railway Station,105,down
Fuzhou Railway Station,Futian Railway Station,105,down
Quanzhou Railway Station,Jinjiang Railway Station,25,down
Jinjiang Railway Station,Shamenbei Railway Station,46,down
Shamenbei Railway Station,Chaoshan Railway Station,209,down
Puning Railway Station,Houmen Railway Station,129,down
Houmen Railway Station,Shenzhenbei Railway Station,123,down
Shenzhenbei Railway Station,Guangmingcheng Railway Station,16,down
Guangmingcheng Railway Station,Qingsheng Railway Station,55,down
Zaozhuang Railway Station,Tengzhoudong Railway Station,36,up
Chaohudong Railway Station,Tonglingbei Railway Station,69,down
Nanpingshi Railway Station,Yanping Railway Station,104,down
Yanping Railway Station,Minqingbei Railway Station,71,down
Minqingbei Railway Station,Fuzhou Railway Station,50,down
Shamenbei Railway Station,Jinjiang Railway Station,46,up
Jinjiang Railway Station,Futian Railway Station,94,up
Futian Railway Station,Fuzhounan Railway Station,50,up
Fuzhou Railway Station,Yanping Railway Station,121,up
Yanping Railway Station,Nanpingshi Railway Station,134,up
Shangrao Railway Station,Wuyuan Railway Station,86,up
Jixibei Railway Station,Nanling Railway Station,92,up
Tonglingbei Railway Station,Chaohudong Railway Station,69,up
Wuyishanbei Railway Station,Nanpingshi Railway Station,35,up
Gutianbei Railway Station,Minqingbei Railway Station,29,up
Quanzhou Railway Station,Shamen Railway Station,111,up
Shamen Railway Station,Jinjiang Railway Station,77,up
Jinjiang Railway Station,Quanzhou Railway Station,25,up
Futian Railway Station,Fuqing Railway Station,50,up
Yanping Railway Station,Jianouxi Railway Station,104,up
Fuyangxi Railway Station,Fengtainan Railway Station,94,down
Fengtainan Railway Station,Huainannan Railway Station,42,down
Nanling Railway Station,Jingxian Railway Station,21,down
Jingxian Railway Station,Huangshanbei Railway Station,112,down
Bangbunan Railway Station,Huainandong Railway Station,43,down
Huainandong Railway Station,Shuijiahu Railway Station,20,down
Shuijiahu Railway Station,Hefeinan Railway Station,89,down
Tonglingbei Railway Station,Tongling Railway Station,22,down
Tongling Railway Station,Chizhou Railway Station,50,down
Chizhou Railway Station,Anqing Railway Station,46,down
Xixianbei Railway Station,Jingxian Railway Station,115,up
Jingxian Railway Station,Tonglingbei Railway Station,55,up
Huainannan Railway Station,Fengtainan Railway Station,42,up
Fengtainan Railway Station,Yingshangbei Railway Station,39,up
Yingshangbei Railway Station,Fuyangxi Railway Station,55,up
Nanchangxi Railway Station,Fuzhou Railway Station,101,up
Fuzhou Railway Station,Nanfeng Railway Station,80,up
Nanfeng Railway Station,Taining Railway Station,79,up
Taining Railway Station,Sanmingbei Railway Station,92,up
Sanmingbei Railway Station,Youxi Railway Station,42,up
Youxi Railway Station,Fuzhou Railway Station,178,up
Fuzhou Railway Station,Youxi Railway Station,153,up
Youxi Railway Station,Sanmingbei Railway Station,42,up
Sanmingbei Railway Station,Jiangle Railway Station,50,up
Jiangle Railway Station,Taining Railway Station,42,up
Taining Railway Station,Nanfeng Railway Station,79,up
Nanfeng Railway Station,Nancheng Railway Station,32,up
Nancheng Railway Station,Fuzhou Railway Station,48,up
Fuzhou Railway Station,Nanchangxi Railway Station,135,up
Anqing Railway Station,Chizhou Railway Station,46,up
Chizhou Railway Station,Tongling Railway Station,50,up
Tongling Railway Station,Tonglingbei Railway Station,22,up
Hefeinan Railway Station,Huainandong Railway Station,109,up
Huainandong Railway Station,Bangbunan Railway Station,43,up
Yanping Railway Station,Fuzhou Railway Station,121,down
Fuzhou Railway Station,Gutianbei Railway Station,79,up
Gutianbei Railway Station,Yanping Railway Station,42,up
Jianouxi Railway Station,Wufushan Railway Station,136,up
Wufushan Railway Station,Shangrao Railway Station,30,up
Shangrao Railway Station,Wufushan Railway Station,30,down
Wufushan Railway Station,Nanpingshi Railway Station,85,down
Nanpingshi Railway Station,Jianouxi Railway Station,51,down
Fuzhou Railway Station,Minqingbei Railway Station,50,up
Minqingbei Railway Station,Yanping Railway Station,71,up
Yuhang Railway Station,Shanghaihongqiao Railway Station,39,up
Jianouxi Railway Station,Fuzhou Railway Station,174,down
Yanping Railway Station,Wuyishanbei Railway Station,139,up
Wuyishanbei Railway Station,Yushannan Railway Station,163,up
Yushannan Railway Station,Longyou Railway Station,48,up
Jiaxingnan Railway Station,Jinshanbei Railway Station,21,up
Jiangshan Railway Station,Yushannan Railway Station,38,down
Jianouxi Railway Station,Shangrao Railway Station,166,up
Tongxiang Railway Station,Yuhang Railway Station,32,down
Hangzhoudong Railway Station,Longyou Railway Station,210,down
Longyou Railway Station,Yushannan Railway Station,97,down
Taian Railway Station,Qufudong Railway Station,70,down
Changxing Railway Station,Hangzhoudong Railway Station,91,down
Wenzhounan Railway Station,Ruian Railway Station,23,down
Ruian Railway Station,Pingyang Railway Station,17,down
Pingyang Railway Station,Cangnan Railway Station,17,down
Gutianbei Railway Station,Jianouxi Railway Station,95,up
Wuhan Railway Station,Ezhou Railway Station,56,down
Ezhou Railway Station,Huangshibei Railway Station,29,down
Huangshibei Railway Station,Dayebei Railway Station,10,down
Dayebei Railway Station,Yangxin Railway Station,37,down
Yangxin Railway Station,Fenglin Railway Station,26,down
Fenglin Railway Station,Ruichangxi Railway Station,25,down
Ruichangxi Railway Station,Jiujiang Railway Station,40,down
Hukou Railway Station,Duchang Railway Station,34,down
Duchang Railway Station,Poyang Railway Station,52,down
Poyang Railway Station,Jingdezhenbei Railway Station,35,down
Nanpingshi Railway Station,Wufushan Railway Station,85,up
Jingdezhenbei Railway Station,Poyang Railway Station,35,up
Poyang Railway Station,Duchang Railway Station,52,up
Duchang Railway Station,Jiujiang Railway Station,64,up
Jiujiang Railway Station,Ruichangxi Railway Station,85,up
Jiujiang Railway Station,Duchang Railway Station,64,down
Cangnan Railway Station,Pingyang Railway Station,17,up
Pingyang Railway Station,Ruian Railway Station,17,up
Ruian Railway Station,Wenzhounan Railway Station,23,up
Wenzhounan Railway Station,Qingtian Railway Station,40,up
Yongkangnan Railway Station,Wuyibei Railway Station,24,up
Wuyibei Railway Station,Jinhuanan Railway Station,19,up
Nanpingshi Railway Station,Sanmingbei Railway Station,153,down
Yongannan Railway Station,Zhangpingxi Railway Station,71,down
Zhangpingxi Railway Station,Longyan Railway Station,52,down
Shamen Railway Station,Fuzhou Railway Station,276,up
Fuzhou Railway Station,Wuyishanbei Railway Station,225,up
Wuyishanbei Railway Station,Hangzhoudong Railway Station,456,up
Hangzhoudong Railway Station,Nanpingshi Railway Station,456,down
Nanpingshi Railway Station,Fuzhou Railway Station,225,down
Futian Railway Station,Shamenbei Railway Station,140,down
Longyan Railway Station,Zhangpingxi Railway Station,52,up
Zhangpingxi Railway Station,Yongannan Railway Station,71,up
Yongannan Railway Station,Sanming Railway Station,39,up
Sanming Railway Station,Sanmingbei Railway Station,18,up
Sanmingbei Railway Station,Yanpingxi Railway Station,50,up
Yanpingxi Railway Station,Nanpingshi Railway Station,114,up
Hangzhoudong Railway Station,Jinshanbei Railway Station,111,up
Shamenbei Railway Station,Huian Railway Station,89,up
Huian Railway Station,Futian Railway Station,51,up
Fuzhounan Railway Station,Fuqing Railway Station,36,down
Fuqing Railway Station,Futian Railway Station,50,down
Fuqing Railway Station,Fuzhou Railway Station,126,up
Yiwu Railway Station,Nanpingshi Railway Station,347,down
Fuzhou Railway Station,Shamen Railway Station,276,down
Liyang Railway Station,Hangzhoudong Railway Station,158,down
Zhangzhou Railway Station,Nanjing Railway Station,34,down
Nanjing Railway Station,Longyan Railway Station,80,down
Longyan Railway Station,Nanjing Railway Station,80,down
Nanjing Railway Station,Zhangzhou Railway Station,34,down
Dingyuan Railway Station,Bangbunan Railway Station,54,up
Gutianbei Railway Station,Nanpingshi Railway Station,176,up
Deqing Railway Station,Huzhou Railway Station,32,up
Bangbunan Railway Station,Shuijiahu Railway Station,63,down
Wuwei Railway Station,Jingxian Railway Station,89,down
Jingxian Railway Station,Jixibei Railway Station,71,down
Huangshanbei Railway Station,Dexing Railway Station,107,down
Dexing Railway Station,Shangrao Railway Station,107,down
Quanzhou Railway Station,Hanjiang Railway Station,89,up
Hanjiang Railway Station,Fuzhounan Railway Station,30,up
Jixibei Railway Station,Jingxian Railway Station,71,up
Wuwei Railway Station,Hefeinan Railway Station,105,up
Yixing Railway Station,Wawushan Railway Station,61,up
Wawushan Railway Station,Lishui Railway Station,22,up
Ningbo Railway Station,Fenghua Railway Station,38,down
Fenghua Railway Station,Taizhou Railway Station,114,down
Taizhou Railway Station,Yandangshan Railway Station,47,down
Yandangshan Railway Station,Wenzhounan Railway Station,76,down
Ruian Railway Station,Cangnan Railway Station,127,down
Cangnan Railway Station,Taimushan Railway Station,56,down
Taimushan Railway Station,Ningde Railway Station,93,down
Ningde Railway Station,Fuzhounan Railway Station,64,down
Huian Railway Station,Xianyou Railway Station,27,up
Xianyou Railway Station,Fuzhounan Railway Station,74,up
Fuzhounan Railway Station,Lianjiang Railway Station,68,up
Lianjiang Railway Station,Ningde Railway Station,56,up
Ningde Railway Station,Fuding Railway Station,112,up
Fuding Railway Station,Wenling Railway Station,193,up
Wenling Railway Station,Taizhou Railway Station,24,up
Taizhou Railway Station,Ningbo Railway Station,152,up
Yuyaobei Railway Station,Hangzhoudong Railway Station,82,up
Fuzhou Railway Station,Fuqing Railway Station,55,down
Futian Railway Station,Jinjiang Railway Station,94,down
Hanjiang Railway Station,Fuqing Railway Station,30,up
Minqingbei Railway Station,Gutianbei Railway Station,29,up
Jiangshan Railway Station,Wuyishanbei Railway Station,142,down
Wuyishanbei Railway Station,Fuzhou Railway Station,202,down
Fuzhounan Railway Station,Xianyou Railway Station,110,down
Xianyou Railway Station,Quanzhou Railway Station,45,down
Jinjiang Railway Station,Shamen Railway Station,77,down
Liyang Railway Station,Huzhou Railway Station,139,down
Ningbo Railway Station,Sanmenxian Railway Station,106,down
Sanmenxian Railway Station,Linhai Railway Station,23,down
Linhai Railway Station,Taizhou Railway Station,23,down
Taizhou Railway Station,Leqing Railway Station,88,down
Leqing Railway Station,Wenzhounan Railway Station,35,down
Shamen Railway Station,Shamenbei Railway Station,31,up
Jinjiang Railway Station,Huian Railway Station,43,up
Fuzhou Railway Station,Nancheng Railway Station,48,up
Nancheng Railway Station,Nanfeng Railway Station,32,up
Nanfeng Railway Station,Jianningxianbei Railway Station,49,up
Jianningxianbei Railway Station,Jiangle Railway Station,72,up
Jiangle Railway Station,Sanmingbei Railway Station,50,up
Youxi Railway Station,Yongtai Railway Station,95,up
Yongtai Railway Station,Quanzhou Railway Station,266,up
Quanzhou Railway Station,Xianyou Railway Station,45,up
Xianyou Railway Station,Futian Railway Station,24,up
Futian Railway Station,Yongtai Railway Station,59,up
Yongtai Railway Station,Youxi Railway Station,95,up
Sanmingbei Railway Station,Nanfeng Railway Station,171,up
Nanfeng Railway Station,Fuzhou Railway Station,80,up
